,type_of_property,subtype_of_property,bedrooms,bathrooms,region,province,postal_code,floor,living_area,state_of_property,year_of_construction,facade_count,heating,kitchen,epc_score,price,garden,terrace,neighborhood_type,fireplace,rooms,furnished,pools,age_of_property
0,HOUSE,VILLA,2,1.0,Wallonie,Namur,5640,,204.0,GOOD,,4.0,GAS,INSTALLED,C,229000,,,unknown,True,,False,False,
1,APARTMENT,GROUND_FLOOR,2,2.0,Flandres,Flandre Occidentale,8670,0.0,85.0,AS_NEW,1996.0,4.0,ELECTRIC,USA_INSTALLED,F,500000,,18.0,RESIDENTIAL,False,,False,False,27.0
2,APARTMENT,DUPLEX,2,1.0,Bruxelles,Bruxelles,1060,0.0,75.0,JUST_RENOVATED,,2.0,unknown,USA_INSTALLED,D,285000,,4.0,ISOLATED,False,,False,False,
3,APARTMENT,APARTMENT,2,1.0,Flandres,Anvers,2550,2.0,85.0,JUST_RENOVATED,1995.0,3.0,GAS,HYPER_EQUIPPED,B,279000,,,URBAN,False,,True,False,28.0
5,HOUSE,HOUSE,2,1.0,Wallonie,Hainaut,6180,,102.0,TO_RENOVATE,,2.0,unknown,NOT_INSTALLED,G,75000,,,ISOLATED,False,,False,False,
6,APARTMENT,GROUND_FLOOR,3,1.0,Flandres,Flandre Orientale,9700,0.0,115.0,GOOD,1976.0,,ELECTRIC,INSTALLED,D,185000,,,URBAN,False,,False,False,47.0
7,APARTMENT,APARTMENT,3,1.0,Flandres,Anvers,2640,2.0,106.0,GOOD,1973.0,3.0,unknown,INSTALLED,C,269000,,6.0,RESIDENTIAL,False,,False,False,50.0
8,APARTMENT,APARTMENT,3,1.0,Flandres,Anvers,2500,4.0,138.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,404442,,37.0,URBAN,True,,False,False,1.0
9,HOUSE,HOUSE,3,1.0,Flandres,Anvers,2180,,106.0,TO_RENOVATE,1899.0,2.0,GAS,NOT_INSTALLED,F,199000,103.0,,RESIDENTIAL,False,,False,False,124.0
10,APARTMENT,APARTMENT,1,1.0,Flandres,Anvers,2500,4.0,82.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,272471,,15.0,URBAN,True,,False,False,1.0
11,APARTMENT,PENTHOUSE,3,1.0,Flandres,Anvers,2500,4.0,138.0,unknown,2022.0,2.0,unknown,INSTALLED,unknown,404442,,37.0,URBAN,True,,False,False,1.0
